OBJECTID,UWI,POZO,WELL_STA,DEPARTAMENTO,CUENCA,FORMACION,LONGITUD,LATITUD,COORDENADA__X,COORDENADA_Y,ELEVACION__msnm_,POTENCIAL_AGUA_PROM__Bbl_,WHP__Psi_,WHT___F_,BHT___C_,TEMPERATURA_AMBIENTE___C_,F17,WHP___bar_,T____C_,Estatus,X,rho___kg_m3_,Potencial_Agua_promd__kg_s_,h_T__kJ_kg_,s_T___kJ_kg_K_,Tamb____C_,h_Tamb__kJ_kg_,s_Tamb__kJ_kg_K_,W_exergía__kW_,T__out____C_,h_Tout__kJ_kg_,nth_____,W_nth__kW_
1215,CHGC0001,CHIGUACO-1,TAPONADO Y ABANDONADO,PUTUMAYO,CAGUÁN PUTUMAYO,,-76.866672,0.321456,689760.717251,527034.629953,952.0,,,,115.55637179,26.4963,, ,115.55637179,,Liquid,984.98523755,0.0,236.00370121,0.78549793,26.4963,104.49572449,0.36610631,0.0,70.0,293.06519282,8.47792076,0.0
1216,ACAE0012,ACAE-12,PRODUCTOR,PUTUMAYO,CAGUÁN PUTUMAYO,VILLETA,-76.910869,0.298083,684833.945305,524448.40463,286.512,214.29032258,,,113.95857238,26.29722,, ,113.95857238,,Liquid,967.98044668,0.38168981,359.97064382,1.14562722,26.29722,111.82588654,0.39062518,8.46387433,70.0,293.06519282,8.32852652,2.12686656
1217,LORO0008,LORO-8,PRODUCTOR,PUTUMAYO,CAGUÁN PUTUMAYO,VILLETA CALIZA A,-76.904231,0.364644,685576.000395,531817.247157,308.7624,60.58612903,,,113.70385347,26.38017,, ,113.70385347,,Liquid,947.89597044,0.10567574,478.17902293,1.46229933,26.38017,110.25357921,0.38537803,4.80999654,70.0,293.06519282,8.3047103,1.62457087
1218,LORO0002A,LORO-2A,TAPONADO Y ABANDONADO,PUTUMAYO,CAGUÁN PUTUMAYO,,-76.899839,0.393197,686066.51819,534978.185189,1032.0,,,,113.01186473,26.33593,, ,113.01186473,,Subcooled liquid,978.57457437,0.0,373.85091128,1.11931998,26.33593,104.82922231,0.36722497,0.0,70.0,293.06519282,8.24000935,0.0
1219,ACAE0008,ACAE-8,PRODUCTOR,PUTUMAYO,CAGUÁN PUTUMAYO,VILLETA,-76.919417,0.302839,683881.403298,524975.153208,299.301408,2.91967742,,,112.16740309,26.47418,, ,112.16740309,,Liquid,990.34438784,0.00532062,186.71365702,0.6332015,26.47418,108.1493853,0.37834553,0.01192613,70.0,293.06519282,8.16105219,0.0
1220,LORO0009D,LORO-9D,PRODUCTOR,PUTUMAYO,CAGUÁN PUTUMAYO,CABALLOS,-76.898408,0.41155,686226.670777,537009.97449,342.9,190.57645161,,,111.23093048,26.2198,, ,111.23093048,,Liquid,960.96938425,0.33699248,403.58879026,1.26529307,26.2198,111.45593614,0.38939117,10.12516256,70.0,293.06519282,8.073492,3.00702227
1221,CENC0001,CENCELLA-1,PRODUCTOR,PUTUMAYO,CAGUÁN PUTUMAYO,VILLETA ARENISCA N,-76.380567,0.756628,743947.065993,575179.593284,285.2928,0.7892,,,110.91334413,26.47418,, ,110.91334413,,Liquid,987.42276012,0.00143394,214.59983046,0.72004588,26.47418,108.98182448,0.38112907,0.00590953,70.0,293.06519282,8.04379768,0.0
1222,SMIG0003,SAN MIGUEL-3,PRODUCTOR,PUTUMAYO,CAGUÁN PUTUMAYO,VILLETA,-76.928906,0.315928,682824.155429,526424.544501,306.9336,7.31,,,110.15140999,26.42441,, ,110.15140999,,Liquid,963.39614802,0.01295877,388.83086379,1.22518782,26.42441,111.38657015,0.38915975,0.35140394,70.0,293.06519282,7.97255683,0.09893984
1223,ACAE0011,ACAE-11,PRODUCTOR,PUTUMAYO,CAGUÁN PUTUMAYO,CABALLOS,-76.911964,0.287539,684711.658106,523281.049287,297.4848,526.16935484,,,109.2656398,26.46312,, ,109.2656398,,Liquid,952.68648556,0.92239509,451.70371537,1.39343309,26.46312,110.7622721,0.38707638,36.50352949,70.0,293.06519282,7.88973732,11.54484697
1224,SUSA0001,SUSAN-1,TAPONADO Y ABANDONADO,PUTUMAYO,CAGUÁN PUTUMAYO,,-76.805547,0.530756,696581.41104,550202.618395,1063.0,,,,108.69908535,26.34146,, ,108.69908535,,Liquid,963.34441074,0.0,389.14902363,1.22605651,26.34146,111.03973882,0.38800245,0.0,70.0,293.06519282,7.83676448,0.0
