T_ambiente_C,T_cabeza_C,flujo_volumetrico_gpm,P_real_ORC_kW
22.58,81.3,63.92,28.16
24.44,63.02,82.6,18.05
28.69,79.2,112.9,48.84
25.6,89.18,84.75,47.32
23.84,72.92,87.35,29.64
22.68,79.2,62.06,29.04
29.09,84.38,74.66,30.48
22.21,79.61,45.98,20.31
24.1,72.27,70.13,24.41
28.52,65.74,63.35,11.05
23.85,103.91,120.66,75.0
24.09,88.06,107.37,60.78
23.2,80.5,31.71,14.38
25.94,68.1,131.92,38.05
22.98,59.3,22.33,3.3
23.5,91.61,24.4,14.48
18.99,83.66,70.99,33.06
23.3,76.07,22.66,8.94
23.86,71.53,82.5,31.18
23.31,67.42,14.72,5.87
24.07,75.42,62.63,20.96
21.49,91.81,44.93,27.43
23.0,68.93,62.44,16.91
24.32,99.84,58.79,37.8
24.69,60.14,69.65,9.99
22.05,60.77,59.53,11.95
23.01,55.77,8.0,1.0
21.95,83.2,26.45,9.37
26.16,63.99,123.59,27.67
27.85,76.44,55.93,18.41
27.03,71.76,90.91,28.87
25.18,81.83,61.56,28.75
23.01,68.1,74.28,17.6
23.93,102.74,73.04,52.98
26.44,85.17,70.34,33.82
27.56,76.97,8.0,1.0
25.0,109.01,113.14,75.0
24.43,92.38,83.4,50.09
22.52,89.91,8.0,4.0
21.89,77.38,113.14,46.8
24.19,63.62,91.22,20.69
19.29,77.22,59.34,26.59
24.26,96.41,67.68,43.42
24.24,49.57,56.84,3.0
26.5,92.8,69.28,42.2
23.3,59.38,120.86,25.34
23.58,67.08,24.6,2.88
18.32,78.44,78.44,35.57
23.52,55.64,71.43,7.42
29.2,97.23,89.12,53.51
27.52,80.93,79.99,41.12
25.96,76.03,55.63,15.19
26.07,69.43,73.08,21.43
26.77,81.26,33.05,14.98
24.73,94.36,101.83,65.08
23.74,77.7,83.34,34.1
25.27,52.98,57.91,1.0
23.38,93.45,76.72,49.27
23.18,76.15,8.0,6.68
23.47,75.36,131.02,52.79
25.93,59.88,53.27,2.75
27.62,49.34,87.26,1.26
22.77,75.17,71.03,24.75
21.86,69.56,39.49,14.04
20.45,63.29,99.59,21.98
26.69,93.42,46.1,25.97
23.94,101.38,83.39,58.14
22.93,94.79,70.32,48.75
21.93,90.66,76.94,46.89
22.58,81.98,59.34,27.16
24.62,70.3,30.02,9.11
22.53,77.8,68.29,24.63
23.31,98.3,77.06,49.95
22.0,85.91,67.49,35.68
25.49,78.59,69.29,32.08
21.82,81.47,44.43,25.18
23.41,68.09,54.06,9.92
25.3,69.02,73.15,17.27
24.42,104.0,76.43,57.21
24.82,77.57,143.01,58.6
28.34,82.95,63.26,26.94
25.3,74.4,78.51,31.0
20.06,83.02,63.0,28.58
28.0,66.05,56.52,12.75
27.85,105.92,8.0,6.5
23.77,72.3,83.23,27.79
24.44,88.07,16.95,7.11
26.08,65.27,22.86,7.05
19.19,78.27,42.5,15.68
26.54,88.54,89.31,45.86
26.03,66.95,89.08,23.42
18.94,75.75,47.66,22.38
26.43,89.44,71.11,39.84
25.8,46.63,54.28,1.0
22.61,64.95,78.0,17.9
21.54,80.68,78.27,38.69
21.68,64.39,44.7,11.18
25.25,56.73,92.72,14.44
25.23,95.48,8.0,9.3
21.23,83.3,60.92,30.8
25.81,82.92,71.31,38.62
24.53,85.66,113.96,57.15
21.61,94.51,112.68,72.38
23.11,83.97,46.47,23.65
26.78,89.79,39.04,22.55
22.43,72.3,103.69,30.38
22.93,85.77,67.89,33.03
24.86,64.21,27.64,6.05
27.6,69.8,8.0,1.0
24.17,84.79,79.75,38.41
20.43,76.99,69.57,25.58
18.0,77.87,29.74,12.2
25.69,92.82,74.59,42.12
22.88,73.94,71.83,29.33
21.75,91.61,84.43,49.18
22.85,78.3,30.95,14.67
27.08,100.41,64.97,40.88
23.74,68.01,67.7,16.98
22.72,45.0,29.14,1.0
24.73,69.45,74.2,27.68
22.29,75.66,32.13,13.38
22.57,75.44,41.4,17.55
24.25,65.54,33.05,11.53
25.21,74.39,68.85,21.09
20.37,76.0,81.91,30.54
24.28,64.82,86.1,17.92
25.54,69.78,19.28,3.45
26.07,85.27,80.83,39.76
21.21,72.44,52.61,21.03
21.55,97.71,63.62,40.49
27.45,69.26,103.61,28.97
23.27,80.24,114.78,46.41
26.88,77.05,60.0,22.25
24.53,73.46,65.65,25.39
22.66,68.53,39.26,12.11
20.61,87.24,85.76,46.85
26.37,69.6,51.98,12.25
26.86,78.97,8.0,1.76
24.11,61.09,50.14,5.02
27.77,84.44,104.5,45.62
26.63,58.19,92.96,12.36
24.98,108.87,10.95,12.88
29.67,64.04,84.47,16.14
23.56,67.38,50.46,17.23
27.23,104.65,72.06,48.32
21.09,76.04,8.0,1.0
27.14,64.11,9.08,1.68
20.82,73.02,58.77,18.07
23.15,72.47,95.57,34.18
24.95,84.91,17.75,9.21
22.32,71.87,88.09,29.97
25.6,72.93,53.15,20.97
23.78,83.68,42.32,21.23
23.65,86.22,39.3,17.56
20.88,75.88,69.51,28.79
26.84,65.23,45.35,8.66
26.96,89.45,61.56,32.66
24.83,56.68,102.24,13.09
29.4,80.49,34.44,17.38
24.08,83.77,49.84,27.53
22.59,70.46,8.0,1.0
23.24,66.81,59.71,13.17
28.53,77.2,51.69,16.98
23.73,88.76,92.8,48.88
21.13,86.91,92.8,51.13
26.81,74.96,47.64,17.04
27.24,75.22,64.47,22.32
24.85,72.84,75.63,25.23
26.3,76.1,38.68,9.41
25.35,95.45,41.82,27.66
23.06,92.43,8.0,8.65
28.53,74.08,93.6,28.43
25.08,71.83,87.12,27.39
25.68,65.27,60.05,9.87
27.15,64.8,99.03,23.61
20.1,85.32,77.57,39.69
26.84,82.24,76.42,35.19
21.35,70.9,44.44,18.98
20.02,71.99,61.1,24.16
23.55,68.87,90.82,23.58
24.1,88.26,100.57,54.91
23.29,88.15,75.44,38.66
25.38,88.48,105.91,57.6
21.56,73.01,71.52,23.74
24.94,73.28,62.72,22.98
23.34,109.69,91.27,71.13
25.24,79.78,79.18,31.59
21.96,79.48,69.46,32.17
22.48,87.23,71.57,38.39
21.57,50.08,141.36,10.47
25.05,88.83,77.59,43.48
21.4,71.1,61.41,19.43
23.6,65.92,45.92,14.39
26.84,63.54,46.72,4.63
24.21,67.53,40.76,7.35
25.82,72.27,125.15,42.02
23.42,76.35,41.0,15.99
21.7,83.75,37.43,23.57
24.53,74.52,8.45,3.23
24.55,98.87,109.62,72.42
21.84,84.19,43.68,24.99
24.01,77.15,54.88,22.44
23.55,77.51,45.94,20.11
28.18,99.62,53.34,36.88
24.7,75.44,82.79,31.55
24.85,74.55,85.69,31.29
24.87,67.89,90.43,29.07
21.67,71.69,71.04,23.01
25.71,66.14,78.17,19.36
22.72,73.24,90.87,26.78
25.76,86.09,46.89,25.25
24.51,81.3,114.34,48.39
28.18,100.31,117.43,75.0
21.56,76.13,79.81,35.41
22.96,58.76,107.46,21.2
22.25,55.13,131.5,12.93
23.34,63.08,86.86,20.43
27.8,79.8,62.03,28.62
20.48,94.13,60.99,36.04
21.44,60.14,41.59,4.55
23.61,66.48,44.46,9.55
24.59,68.47,41.14,7.44
24.72,73.98,57.39,21.37
26.71,92.15,63.63,39.98
25.85,71.45,91.58,28.84
24.09,86.62,96.95,51.25
26.75,80.52,62.24,27.64
22.41,84.81,43.03,22.45
23.13,79.46,91.32,38.73
20.15,79.94,101.64,50.04
22.36,84.21,86.03,42.11
26.61,100.81,86.44,56.78
23.48,86.57,80.27,36.71
24.76,79.1,72.61,33.72
22.14,86.64,48.66,24.04
22.89,71.97,76.13,28.7
23.63,92.43,63.26,40.89
20.46,82.97,76.72,36.61
19.12,57.9,64.47,7.42
25.82,68.43,27.42,6.67
