T_ambiente_C,T_cabeza_C,P_cabeza,unidad_presion,flujo_bpd
23.87,68.19,2.107,barg,454.9
23.43,71.18,37.427,psia,424.3
20.16,86.38,47.07,psia,660.1
24.94,76.13,3.414,bar_abs,339.4
24.2,78.82,3.319,bar_abs,418.6
21.98,72.5,1.815,barg,314.2
23.89,94.27,3.005,barg,279.1
20.64,100.85,61.832,psia,270.9
27.27,67.23,1.687,barg,246.5
23.03,60.4,23.464,psig,415.8
26.75,88.09,2.75,barg,443.3
23.77,56.65,31.315,psig,60.0
24.32,70.78,2.687,bar_abs,741.1
23.58,91.01,3.067,barg,381.5
27.63,79.33,28.478,psig,599.5
26.41,88.74,3.632,bar_abs,665.1
26.93,58.17,34.347,psia,249.3
27.06,87.68,3.856,bar_abs,145.9
23.21,68.93,1.996,barg,290.9
27.94,87.56,3.22,bar_abs,373.5
28.02,82.34,2.858,bar_abs,596.6
26.97,89.71,50.208,psia,778.6
24.28,62.23,2.56,bar_abs,352.7
25.19,79.11,2.661,bar_abs,536.0
22.79,72.9,2.091,barg,221.5
25.13,92.89,3.347,bar_abs,249.6
23.42,79.5,29.327,psig,327.4
22.06,82.89,47.647,psia,529.7
27.36,86.59,3.854,bar_abs,351.0
23.47,61.48,1.751,barg,936.8
22.04,83.43,2.164,barg,469.0
23.23,73.65,42.499,psia,476.3
24.69,83.92,2.103,barg,60.0
23.79,62.64,36.001,psia,247.3
23.26,82.46,47.523,psia,867.4
23.09,92.3,2.058,barg,520.8
23.94,77.1,47.693,psia,243.8
25.34,84.42,2.53,barg,237.5
23.87,74.08,32.493,psig,287.2
24.7,56.55,37.451,psia,274.8
24.61,56.28,32.431,psia,670.8
26.12,78.85,2.712,bar_abs,494.4
26.11,71.2,41.261,psia,736.6
26.22,73.51,2.402,barg,516.2
20.09,66.76,2.767,bar_abs,696.5
24.61,68.38,1.707,barg,600.6
25.29,49.96,1.826,bar_abs,164.1
23.16,67.11,1.851,barg,746.9
26.49,53.63,1.543,barg,688.9
26.01,97.88,39.677,psig,584.1
26.07,65.69,1.988,barg,373.0
23.41,82.1,39.366,psia,338.9
29.03,81.75,3.43,bar_abs,690.3
26.49,67.88,1.602,barg,343.5
24.83,91.31,3.934,bar_abs,464.1
23.93,84.87,2.788,bar_abs,479.5
24.56,50.98,20.078,psig,420.0
25.97,79.67,43.689,psia,516.8
27.78,103.33,41.767,psig,544.4
24.09,68.71,22.807,psig,382.5
25.58,74.06,3.458,bar_abs,556.0
23.78,109.55,3.307,barg,1051.0
26.34,57.3,37.19,psia,861.2
25.18,58.1,32.297,psia,221.4
26.21,65.39,32.982,psia,595.1
24.51,91.56,53.667,psia,703.6
24.83,79.62,2.232,barg,805.3
22.52,72.1,1.982,barg,514.4
23.22,82.67,3.333,bar_abs,693.4
23.22,71.36,43.165,psia,522.2
21.52,69.12,2.803,bar_abs,60.0
25.96,94.33,3.171,barg,687.1
26.47,50.7,2.116,bar_abs,218.5
23.09,99.14,3.989,bar_abs,884.1
24.38,81.9,51.4,psia,726.1
25.65,68.4,39.908,psia,547.6
27.56,76.09,35.749,psig,412.8
23.38,54.43,2.375,bar_abs,60.0
27.23,79.77,2.089,barg,643.2
27.91,79.99,3.83,bar_abs,215.0
23.38,92.15,3.852,bar_abs,361.5
26.72,82.9,41.83,psig,433.5
26.49,61.54,38.935,psia,500.9
26.65,83.28,2.467,barg,347.6
25.31,94.4,48.646,psia,530.5
26.48,91.22,3.721,bar_abs,469.0
24.09,85.76,2.335,barg,279.3
22.95,102.33,4.189,bar_abs,239.5
28.5,80.71,2.782,bar_abs,760.2
23.95,64.99,1.388,barg,565.7
23.86,96.2,2.454,barg,408.3
23.23,90.96,47.977,psia,720.5
24.77,78.21,3.391,bar_abs,642.4
25.32,57.64,18.205,psig,823.0
25.32,82.92,2.292,barg,363.2
24.34,72.13,2.093,barg,711.7
26.16,68.29,2.07,barg,696.8
21.45,86.43,46.174,psia,527.0
23.08,79.13,2.939,bar_abs,597.2
24.89,68.99,41.689,psia,181.6
22.51,69.21,1.519,barg,379.3
23.74,83.11,48.323,psia,818.8
24.8,82.02,53.256,psia,139.7
24.89,81.78,3.407,bar_abs,332.7
29.08,76.75,28.242,psig,682.1
24.19,97.4,2.668,barg,654.4
23.15,92.64,3.963,bar_abs,429.3
24.56,45.0,18.179,psig,392.3
23.99,76.85,1.882,barg,448.6
26.13,72.4,1.948,barg,501.2
23.88,83.57,49.538,psia,157.0
26.88,88.19,45.409,psia,464.8
25.42,92.92,47.521,psig,646.3
22.78,79.7,2.609,barg,300.8
22.44,74.25,2.007,barg,473.1
24.57,78.38,35.4,psig,60.0
24.21,98.67,44.864,psig,551.6
25.27,95.61,39.774,psig,225.7
27.82,87.37,41.015,psig,106.8
24.11,85.3,2.366,barg,471.7
24.19,96.66,4.081,bar_abs,404.8
23.76,78.77,2.456,barg,484.4
25.23,45.0,27.143,psia,447.7
23.54,94.0,3.616,bar_abs,609.7
24.7,80.09,2.328,barg,416.8
21.73,57.06,30.104,psia,533.1
22.81,84.04,3.678,bar_abs,461.1
25.01,84.82,2.28,barg,784.6
26.5,79.5,3.583,bar_abs,93.7
26.73,88.86,3.139,bar_abs,554.3
28.62,75.28,45.308,psia,610.8
24.08,69.87,40.838,psia,429.0
24.77,79.8,3.315,bar_abs,462.7
27.58,73.05,2.147,barg,163.2
24.93,79.76,35.061,psig,331.0
24.0,71.3,26.645,psig,295.8
21.63,69.36,41.034,psia,399.8
23.62,88.57,53.409,psia,333.2
23.74,100.55,2.752,barg,130.9
27.33,81.8,43.451,psia,199.0
23.5,97.18,61.164,psia,868.1
23.76,86.74,54.364,psia,822.5
27.13,76.96,3.318,bar_abs,797.4
25.15,84.97,2.28,barg,624.6
22.15,54.51,2.24,bar_abs,463.2
23.91,73.44,40.674,psia,563.9
25.46,79.4,30.393,psig,533.9
23.93,78.78,1.722,barg,236.9
26.2,72.47,1.975,barg,949.2
25.22,69.9,2.346,bar_abs,311.0
24.65,73.32,46.682,psia,375.3
25.51,88.6,51.013,psia,138.0
23.78,74.37,2.387,barg,584.3
27.43,68.8,1.861,barg,365.5
23.92,55.41,25.399,psig,638.5
23.2,75.13,47.855,psia,150.3
27.08,80.56,47.184,psia,606.1
23.33,80.39,1.835,barg,478.6
23.06,90.55,1.906,barg,436.7
25.09,96.32,3.582,bar_abs,411.9
25.75,81.69,30.375,psig,191.0
24.76,68.59,29.852,psig,202.0
26.5,81.65,53.852,psia,559.7
25.45,87.82,2.593,barg,493.5
21.13,89.72,3.535,bar_abs,60.0
26.95,80.81,43.447,psia,60.0
27.54,87.17,3.392,bar_abs,418.4
23.71,64.01,2.894,bar_abs,192.6
24.12,62.15,2.431,bar_abs,691.3
19.04,79.3,3.3,bar_abs,357.5
23.89,73.23,3.248,bar_abs,689.7
21.52,62.21,2.584,bar_abs,689.6
25.01,83.13,38.23,psig,240.5
24.03,57.58,20.863,psig,520.7
24.05,78.21,2.244,barg,133.2
23.18,64.88,2.591,bar_abs,202.1
26.15,78.93,3.182,bar_abs,549.1
25.38,76.37,2.127,barg,655.2
24.65,62.51,2.081,bar_abs,659.5
27.96,86.62,3.245,bar_abs,387.9
