T_ambiente_C,T_cabeza_C,flujo_volumetrico_gpm,P_real_ORC_kW,flujo_masico_kg_s
22.58,81.3,63.92,28.16,4.4359978892768
24.44,63.02,82.6,18.05,5.7323752449039995
28.69,79.2,112.9,48.84,7.835171490916
25.6,89.18,84.75,47.32,5.88158355939
23.84,72.92,87.35,29.64,6.062021521094
22.68,79.2,62.06,29.04,4.3069153474424
29.09,84.38,74.66,30.48,5.1813454695464
22.21,79.61,45.98,20.31,3.1909759535192
24.1,72.27,70.13,24.41,4.866967020885199
28.52,65.74,63.35,11.05,4.396440336134001
23.85,103.91,120.66,75.0,8.3737094073864
24.09,88.06,107.37,60.78,7.4513938262148
23.2,80.5,31.71,14.38,2.2006491406284003
25.94,68.1,131.92,38.05,9.155144579996799
22.98,59.3,22.33,3.3,1.5496844941732
23.5,91.61,24.4,14.48,1.6933408713759999
18.99,83.66,70.99,33.06,4.9266503466796
23.3,76.07,22.66,8.94,1.5725862354664
23.86,71.53,82.5,31.18,5.7254353233
23.31,67.42,14.72,5.87,1.0215564601088
24.07,75.42,62.63,20.96,4.3464729005852005
21.49,91.81,44.93,27.43,3.1181067766772
23.0,68.93,62.44,16.91,4.3332870495376
24.32,99.84,58.79,37.8,4.0799799109916
24.69,60.14,69.65,9.99,4.833655397186
22.05,60.77,59.53,11.95,4.131335330861201
23.01,55.77,8.0,1.0,0.55519372832
21.95,83.2,26.45,9.37,1.835609264258
26.16,63.99,123.59,27.67,8.5770491103836
27.85,76.44,55.93,18.41,3.8814981531172004
27.03,71.76,90.91,28.87,6.3090827301964
25.18,81.83,61.56,28.75,4.2722157394224
23.01,68.1,74.28,17.6,5.1549737674512
23.93,102.74,73.04,52.98,5.0689187395616
26.44,85.17,70.34,33.82,4.881540856253601
27.56,76.97,8.0,1.0,0.55519372832
25.0,109.01,113.14,75.0,7.8518273027656
24.43,92.38,83.4,50.09,5.787894617736001
22.52,89.91,8.0,4.0,0.55519372832
21.89,77.38,113.14,46.8,7.8518273027656
24.19,63.62,91.22,20.69,6.330596487168799
19.29,77.22,59.34,26.59,4.1181494798136
24.26,96.41,67.68,43.42,4.6969389415872005
24.24,49.57,56.84,3.0,3.944651439713601
26.5,92.8,69.28,42.2,4.807977687251201
23.3,59.38,120.86,25.34,8.3875892505944
23.58,67.08,24.6,2.88,1.707220714584
18.32,78.44,78.44,35.57,5.4436745061776
23.52,55.64,71.43,7.42,4.9571860017372
29.2,97.23,89.12,53.51,6.1848581334848
27.52,80.93,79.99,41.12,5.5512432910396
25.96,76.03,55.63,15.19,3.8606783883052005
26.07,69.43,73.08,21.43,5.0716947082032
26.77,81.26,33.05,14.98,2.2936440901219997
24.73,94.36,101.83,65.08,7.0669221693532
23.74,77.7,83.34,34.1,5.7837306647736
25.27,52.98,57.91,1.0,4.0189086008764
23.38,93.45,76.72,49.27,5.3243078545888
23.18,76.15,8.0,6.68,0.55519372832
23.47,75.36,131.02,52.79,9.092685285560801
25.93,59.88,53.27,2.75,3.6968962384508006
27.62,49.34,87.26,1.26,6.055775591650401
22.77,75.17,71.03,24.75,4.9294263153212
21.86,69.56,39.49,14.04,2.7405750414196004
20.45,63.29,99.59,21.98,6.911467925423601
26.69,93.42,46.1,25.97,3.199303859444
23.94,101.38,83.39,58.14,5.7872006255756006
22.93,94.79,70.32,48.75,4.8801528719328
21.93,90.66,76.94,46.89,5.339575682117601
22.58,81.98,59.34,27.16,4.1181494798136
24.62,70.3,30.02,9.11,2.0833644655208
22.53,77.8,68.29,24.63,4.7392724633716
23.31,98.3,77.06,49.95,5.3479035880424
22.0,85.91,67.49,35.68,4.683753090539599
25.49,78.59,69.29,32.08,4.8086716794116
21.82,81.47,44.43,25.18,3.0834071686571995
23.41,68.09,54.06,9.92,3.7517216191224003
25.3,69.02,73.15,17.27,5.076552653326001
24.42,104.0,76.43,57.21,5.304182081937201
24.82,77.57,143.01,58.6,9.9247818858804
28.34,82.95,63.26,26.94,4.3901944066904
25.3,74.4,78.51,31.0,5.448532451300402
20.06,83.02,63.0,28.58,4.37215061052
28.0,66.05,56.52,12.75,3.9224436905808004
27.85,105.92,8.0,6.5,0.55519372832
23.77,72.3,83.23,27.79,5.7760967510092005
24.44,88.07,16.95,7.11,1.1763167118779998
26.08,65.27,22.86,7.05,1.5864660786743998
19.19,78.27,42.5,15.68,2.9494666817
26.54,88.54,89.31,45.86,6.1980439845324
26.03,66.95,89.08,23.42,6.182082164843201
18.94,75.75,47.66,22.38,3.3075666364664
26.43,89.44,71.11,39.84,4.9349782526044
25.8,46.63,54.28,1.0,3.7669894466512
22.61,64.95,78.0,17.9,5.41313885112
21.54,80.68,78.27,38.69,5.4318766394508
21.68,64.39,44.7,11.18,3.1021449569880004
25.25,56.73,92.72,14.44,6.434695311228801
25.23,95.48,8.0,9.3,0.55519372832
21.23,83.3,60.92,30.8,4.2278002411568005
25.81,82.92,71.31,38.62,4.948858095812399
24.53,85.66,113.96,57.15,7.9087346599184
21.61,94.51,112.68,72.38,7.819903663387201
23.11,83.97,46.47,23.65,3.2249815693788
26.78,89.79,39.04,22.55,2.7093453942016
22.43,72.3,103.69,30.38,7.1960047111876
22.93,85.77,67.89,33.03,4.711512776955599
24.86,64.21,27.64,6.05,1.9181943313456002
27.6,69.8,8.0,1.0,0.55519372832
24.17,84.79,79.75,38.41,5.53458747919
20.43,76.99,69.57,25.58,4.828103459902799
18.0,77.87,29.74,12.2,2.0639326850296
25.69,92.82,74.59,42.12,5.1764875244236
22.88,73.94,71.83,29.33,4.984945688153201
21.75,91.61,84.43,49.18,5.8593758102572
22.85,78.3,30.95,14.67,2.147905736438
27.08,100.41,64.97,40.88,4.5088670661188
23.74,68.01,67.7,16.98,4.698326925908
22.72,45.0,29.14,1.0,2.0222931554056003
24.73,69.45,74.2,27.68,5.149421830168
22.29,75.66,32.13,13.38,2.2297968113652002
22.57,75.44,41.4,17.55,2.873127544056
24.25,65.54,33.05,11.53,2.2936440901219997
25.21,74.39,68.85,21.09,4.7781360243540005
20.37,76.0,81.91,30.54,5.6844897858364
24.28,64.82,86.1,17.92,5.9752725010439995
25.54,69.78,19.28,3.45,1.3380168852512002
26.07,85.27,80.83,39.76,5.6095386325132
21.21,72.44,52.61,21.03,3.6510927558644
21.55,97.71,63.62,40.49,4.415178124464799
27.45,69.26,103.61,28.97,7.190452773904401
23.27,80.24,114.78,46.41,7.9656420170712
26.88,77.05,60.0,22.25,4.1639529624
24.53,73.46,65.65,25.39,4.556058533026
22.66,68.53,39.26,12.11,2.7246132217304
20.61,87.24,85.76,46.85,5.951676767590401
26.37,69.6,51.98,12.25,3.6073712497592
26.86,78.97,8.0,1.76,0.55519372832
24.11,61.09,50.14,5.02,3.4796766922456
27.77,84.44,104.5,45.62,7.25221807618
26.63,58.19,92.96,12.36,6.4513511230784
24.98,108.87,10.95,12.88,0.759921415638
29.67,64.04,84.47,16.14,5.8621517788988
23.56,67.38,50.46,17.23,3.5018844413784
27.23,104.65,72.06,48.32,5.000907507842401
21.09,76.04,8.0,1.0,0.55519372832
