T_ambiente_C,T_cabeza_C,P_cabeza,unidad_presion,flujo_bpd,P_cabeza_Pa,flujo_masico_kg_s,h_J_kg,s_J_kgK,h0_J_kg,s0_J_kgK,exergia_J_kg,Pmax_conceptual_kW,fase,exergy_status
23.87,68.19,2.107,barg,454.9,312025.0,0.8194102758546083,285668.9865004887,932.6811018903485,100203.4432706169,351.35031886639206,12798.674056096293,10.487365038879084,liquid,ok
23.43,71.18,37.427,psia,424.3,258050.08121139873,0.762943092949989,298145.43794341903,969.234292649151,98363.11420779317,345.1497480698325,14691.329504291585,11.20864837155165,liquid,ok
20.16,86.38,47.07,psia,660.1,324536.22578941775,1.1755867515228506,361951.61519630806,1150.3699286244712,84682.61624044039,298.7660353826424,27485.061029106844,32.31107361061501,liquid,ok
24.94,76.13,3.414,bar_abs,339.4,341400.0,0.6084799378723753,318954.1864937479,1028.990234868704,104678.38002477353,366.3893595319674,16761.111539846577,10.198800108437798,liquid,ok
24.2,78.82,3.319,bar_abs,418.6,331900.0,0.7492023661107369,330225.57238963066,1061.1647701736333,101583.6244266714,355.99450111983964,18959.568459813745,14.204553550530957,liquid,ok
21.98,72.5,1.815,barg,314.2,282825.0,0.5645328405848364,303694.99219479965,985.2469224326795,92297.64050615727,324.6481972091562,16434.84991342391,9.278012506210652,liquid,ok
23.89,94.27,3.005,barg,279.1,401825.0,0.49434223375823916,395187.5103697752,1241.5921816190253,100287.09219455357,351.6319366288038,30546.627003326255,15.100487826604049,liquid,ok
20.64,100.85,61.832,psia,270.9,426316.63295116375,0.4775016634564674,422927.15482948866,1316.353557446913,86691.18468037838,305.6083753890232,39289.14311232284,18.76063119191336,liquid,ok
27.27,67.23,1.687,barg,246.5,270025.0,0.4442546650481487,281615.60859644227,920.9153142365973,114421.06974141413,398.94600998837046,10384.520472775883,4.613371664318692,liquid,ok
23.03,60.4,23.464,psig,415.8,263103.5852957174,0.7521765409279062,253031.59523651743,836.1056202548484,96689.99812883123,339.50457517457454,9258.299575810728,6.963875749807615,liquid,ok
26.75,88.09,2.75,barg,443.3,376325.0,0.7885824345970316,369176.7990289485,1170.269911421421,112246.93169538263,391.70274437983966,23437.57393779562,18.482459116914807,liquid,ok
