T_ambiente_C,T_cabeza_C,P_cabeza,unidad_presion,flujo_bpd,P_cabeza_Pa,flujo_masico_kg_s,h_J_kg,s_J_kgK,h0_J_kg,s0_J_kgK,exergia_J_kg,Pmax_conceptual_kW,fase,exergy_status,Pmax_ML_kW,P_real_ORC_ML_kW,P_real_ORC_Bayes_kW,P_real_ORC_Bayes_std_kW,Pmax_Bayes_kW,Pmax_Bayes_std_kW,relacion_Preal_ML_Pmax_exergia,relacion_Preal_ML_Pmax_ML,relacion_Preal_Bayes_Pmax_exergia
23.87,68.19,2.107,barg,454.9,312025.0,0.8194102758546083,285668.9865004887,932.6811018903485,100203.4432706169,351.35031886639206,12798.674056096293,10.487365038879084,liquid,ok,11.331055052563123,0.0,0.0,5.29593211060195,11.331055052563123,4.021221954103779,0.0,0.0,0.0
23.43,71.18,37.427,psia,424.3,258050.08121139873,0.762943092949989,298145.43794341903,969.234292649151,98363.11420779317,345.1497480698325,14691.329504291585,11.20864837155165,liquid,ok,12.004984527499126,0.44091658724652305,0.44091658724652305,5.294062247791393,12.004984527499126,4.020256800280531,0.039337177207342935,0.03672779304600859,0.039337177207342935
20.16,86.38,47.07,psia,660.1,324536.22578941775,1.1755867515228506,361951.61519630806,1150.3699286244712,84682.61624044039,298.7660353826424,27485.061029106844,32.31107361061501,liquid,ok,30.13088504595865,17.481784062336942,17.481784062336942,5.326441121349883,30.13088504595865,4.117971941937499,0.541046214465425,0.5801948411296903,0.541046214465425
24.94,76.13,3.414,bar_abs,339.4,341400.0,0.6084799378723753,318954.1864937479,1028.990234868704,104678.38002477353,366.3893595319674,16761.111539846577,10.198800108437798,liquid,ok,10.488401858626435,3.4471691509389544,3.4471691509389544,5.296886418800072,10.488401858626435,4.012812891460367,0.33799752071687333,0.3286648621404364,0.33799752071687333
24.2,78.82,3.319,bar_abs,418.6,331900.0,0.7492023661107369,330225.57238963066,1061.1647701736333,101583.6244266714,355.99450111983964,18959.568459813745,14.204553550530957,liquid,ok,15.156984156626512,6.889240066991313,6.889240066991313,5.291277985039511,15.156984156626512,4.010556868985213,0.4850022242855917,0.45452578136920413,0.4850022242855917
21.98,72.5,1.815,barg,314.2,282825.0,0.5645328405848364,303694.99219479965,985.2469224326795,92297.64050615727,324.6481972091562,16434.84991342391,9.278012506210652,liquid,ok,9.608731202617122,1.1076699646825539,1.1076699646825539,5.306524367689511,9.608731202617122,4.046222468084894,0.11938655654334217,0.11527744312182016,0.11938655654334217
23.89,94.27,3.005,barg,279.1,401825.0,0.49434223375823916,395187.5103697752,1241.5921816190253,100287.09219455357,351.6319366288038,30546.627003326255,15.100487826604049,liquid,ok,18.145730699903478,19.4240394576383,19.4240394576383,5.323775223885383,18.145730699903478,4.046296376534671,1.2863186726601652,1.070446805305097,1.2863186726601652
20.64,100.85,61.832,psia,270.9,426316.63295116375,0.4775016634564674,422927.15482948866,1316.353557446913,86691.18468037838,305.6083753890232,39289.14311232284,18.76063119191336,liquid,ok,23.220938446552623,26.45314348588603,26.45314348588603,5.3792412611882465,23.220938446552623,4.1372349321288615,1.4100348338646769,1.1391935578647236,1.4100348338646769
27.27,67.23,1.687,barg,246.5,270025.0,0.4442546650481487,281615.60859644227,920.9153142365973,114421.06974141413,398.94600998837046,10384.520472775883,4.613371664318692,liquid,ok,1.167974937782306,0.0,0.0,5.335598151023526,1.167974937782306,4.058124678052468,0.0,0.0,0.0
23.03,60.4,23.464,psig,415.8,263103.5852957174,0.7521765409279062,253031.59523651743,836.1056202548484,96689.99812883123,339.50457517457454,9258.299575810728,6.963875749807615,liquid,ok,6.520290102157835,0.0,0.0,5.316158450510016,6.520290102157835,4.04781082236416,0.0,0.0,0.0
26.75,88.09,2.75,barg,443.3,376325.0,0.7885824345970316,369176.7990289485,1170.269911421421,112246.93169538263,391.70274437983966,23437.57393779562,18.482459116914807,liquid,ok,19.090853627726744,14.394685278299425,14.394685278299425,5.317417492150899,19.090853627726744,4.0337226653229985,0.7788295479104116,0.7540095146606329,0.7788295479104116
23.77,56.65,31.315,psig,60.0,317234.32480437943,0.10875106290853825,237395.68690811255,788.7970264058627,99785.19555377155,349.9419351207518,7305.63764996588,0.794495859658425,liquid,ok,0.0,0.0,0.0,5.344016400830929,0.0,4.089101641408237,0.0,,0.0
24.32,70.78,2.687,bar_abs,741.1,268700.0,1.3329088591810332,296478.7736945132,964.3595016040813,102085.49487677892,357.68197113482694,13924.913829045196,18.560641006066824,liquid,ok,22.685422955452964,2.8100061178614197,2.8100061178614197,5.281162698013737,22.685422955452964,4.046866223589467,0.15139596293807564,0.12386835913879093,0.15139596293807564
23.58,91.01,3.067,barg,381.5,408025.0,0.677282992254943,381476.769570779,1204.0918220055137,98990.51054744057,347.264650409311,28239.93239559725,19.126425913967406,liquid,ok,20.34483944239468,17.61849480255917,17.61849480255917,5.31065460783728,20.34483944239468,4.031546600465843,0.9211598069502863,0.8659933076613847,0.9211598069502863
